COURSE_ID,DEPARTMENT,SEMESTER,COURSE_CODE,COURSE_NAME,L,T,P,S,C,SEMESTER_TYPE,FACULTY_ID,COMBINED,CAPACITY
52,DSAI,2_premid,CS164,Computer Architecture,3,1,0,0,2,even,17,FALSE,88
53,DSAI,2_premid,HS161,HSS / IE-Economics,3,0,0,0,3,even,5;9,FALSE,88
54,DSAI,2_premid,CS163,Data Structures & Algorithms,3,0,2,0,4,even,38,FALSE,88
55,DSAI,2_premid,DS164,Data Curation Techniques,0,2,2,0,3,even,32,FALSE,88
56,DSAI,2_premid,B1(ASD151/HS151/New/New/New/New),Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things/Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1,3,1,0,0,2,even,30;32;12;22;44;45,TRUE,88
57,DSAI,2_premid,B2(New/New/New/New),Photography101/Linux for Engineers/Data Science with Python/Introduction to Holistic Personality Development,3,1,0,0,2,even,23;24;31;1;47;8,TRUE,88
58,DSAI,2_postmid,CS162,Optimization,3,1,0,0,2,even,10,TRUE,88
59,DSAI,2_postmid,CS164,Computer Architecture,3,0,2,0,2,even,17,FALSE,88
60,DSAI,2_postmid,HS161,English Language and Communication,3,0,0,0,3,even,27,FALSE,88
61,DSAI,2_postmid,CS163,Data Structures & Algorithms,3,0,2,0,4,even,38,FALSE,88
62,DSAI,2_postmid,DS164,Data Curation Techniques,0,2,2,0,3,even,32,FALSE,88
63,DSAI,2_postmid,B3(New/New/New/New),Data Science with Python/Introduction to Digital VLSI Design/Industry Insights Program Part 1/Principles of Quantum Physics,3,1,0,0,2,even,1;23;44;45;6;,TRUE,88
64,DSAI,2_postmid,B4(New/New/New/New),Linux for Engineers/Photography101/Introduction to Holistic Personality Development/Visual Design – Principles and Application in Product Communication,3,1,0,0,2,even,31;24;47;8;30,TRUE,88
65,DSAI,4,MA202,Linear Algebra,3,1,0,0,4,even,7,,75
66,DSAI,4,HS206,Industrial Social Psychology,3,0,0,0,3,even,19,,75
67,DSAI,4,CS204,Operating Systems,3,1,0,0,4,even,17,,75
68,DSAI,4,DS204,Software Engineering and Services,3,0,2,0,4,even,3,,75
69,DSAI,4,CS310,Database Management System,3,1,2,0,5,even,31;40,,75
70,DSAI,4,DS205,Global Business Perspectives,3,0,0,0,3,even,43,,75
71,DSAI,6,DS309,Cloud Computing,3,0,0,4,4,even,3,,67
72,DSAI,6,DS306,Financial Data Analytics,3,0,0,4,4,even,40,,67
73,DSAI,6,DS307,Innovation & Entrepreneurship,3,1,0,0,4,even,44,,67
74,DSAI,6,DS308,Data Security & Privacy,3,1,0,0,4,even,1;25,,67
75,DSAI,6,DS399,Mini Project-I,0,0,0,8,2,even,31,,67
76,DSAI,6,HS101,Environmental Studies,0,0,0,5,2,even,48,FALSE,67
77,DSAI,6,B1,Deep Learning for Computer Vision/Large Language Models/Natural Language Processing/Deep Speech Processing,3,1,0,0,4,even,7;38;15;35,TRUE,80
78,DSAI,6,B2,Blockchain Technology/Introduction to 5G Network/Model Checking/Quantum Communication/Quantum HPC and AI/Design Thinking and Innovation,3,1,0,0,4,even,25;12;21;6;18;30,TRUE,80
79,ECE,2_premid,MA202,Linear Algebra,3,1,0,0,2,even,34,FALSE,63
80,ECE,2_premid,CS162,Optimization,3,1,0,0,2,even,10,TRUE,63
81,ECE,2_premid,CS164,Computer Architecture,3,1,0,0,2,even,13,FALSE,63
82,ECE,2_premid,HS161,English Language and Communication,3,0,0,0,3,even,27,FALSE,63
83,ECE,2_premid,CS163,Data Structures and Algorithms,3,0,2,0,4,even,24,FALSE,63
84,ECE,2_premid,new,Network Analysis,3,0,0,0,3,even,33,FALSE,63
85,ECE,2_premid,B1(ASD151/HS151/New/New/New/New),Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things/Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1,3,1,0,0,2,even,30;32;12;22;29;44;45,TRUE,63
86,ECE,2_premid,B2(New/New/New/New/New),Introduction to Digital VLSI Design/Photography101/Linux for Engineers/Data Science with Python/Introduction to Holistic Personality Development,3,2,0,0,2,even,23;24;31;1;47;8,TRUE,63
87,ECE,2_postmid,CS162,Optimization,3,1,0,0,2,even,10,TRUE,63
88,ECE,2_postmid,CS164,Computer Architecture,3,1,0,0,2,even,13,FALSE,63
89,ECE,2_postmid,HS161,English Language and Communication,3,0,0,0,3,even,27,FALSE,63
90,ECE,2_postmid,CS163,Data Structures and Algorithms,3,0,2,0,4,even,24,FALSE,63
91,ECE,2_postmid,new,Network Analysis,3,0,0,0,3,even,33,FALSE,63
92,ECE,2_postmid,B3(New/New/New/New),Data Science with Python/Introduction to Digital VLSI Design/Industry Insights Program Part 1/Principles of Quantum Physics,3,1,0,0,2,even,1;23;44;45;6,TRUE,63
